Date,Active View-eligible impressions,Measurable impressions,Viewable impressions,% Viewable impressions (%),AdMob Network request RPM (MXN),AdMob Network requests,Clicks,Impressions CTR (%),Impression RPM (MXN),Impressions,Match rate (%),Matched requests,Rewarded starts,Rewarded completes,Show rate (%),Estimated earnings (MXN),Country
1/1/2017,4,4,4,1,0,4,0,0,0,4,1,4,0,0,1,0,Armenia
1/1/2017,4,4,4,1,0,7,0,0,0,4,1,7,0,0,0.5714,0,Afghanistan
1/1/2017,106,106,89,0.8396,0.08,128,0,0,0.1,107,1,128,0,0,0.8359,0.01,Argentina
1/1/2017,0,0,0,0,0,8,0,0,0,8,1,8,0,0,1,0,Azerbaijan
1/1/2017,44,44,40,0.9091,0.3,59,0,0,0.39,46,1,59,0,0,0.7797,0.02,Austria
1/1/2017,25,25,22,0.88,0.02,29,0,0,0.02,25,0.9655,28,0,0,0.8929,0,Bosnia & Herzegovina
1/1/2017,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,Barbados
1/1/2017,2,2,2,1,0,6,0,0,0,2,1,6,0,0,0.3333,0,Bangladesh
1/1/2017,87,87,84,0.9655,0.21,113,0,0,0.27,87,0.9912,112,0,0,0.7768,0.02,Belgium
1/1/2017,11,11,11,1,0.02,19,0,0,0.04,11,1,19,0,0,0.5789,0,Bulgaria
1/1/2017,279,279,254,0.9104,6.49,314,1,0.0036,7.3,279,1,314,0,0,0.8885,2.04,Canada
1/1/2017,185,185,165,0.8919,1.26,241,0,0,1.64,185,0.971,234,0,0,0.7906,0.3,Brazil
1/1/2017,80,80,73,0.9125,2.23,93,0,0,2.59,80,1,93,0,0,0.8602,0.21,Switzerland
1/1/2017,38,38,33,0.8684,0.01,57,0,0,0.02,38,1,57,0,0,0.6667,0,Chile
1/1/2017,27,27,27,1,0,44,0,0,0,28,0.9773,43,0,0,0.6512,0,China
1/1/2017,6,6,5,0.8333,0.1,13,0,0,0.21,6,1,13,0,0,0.4615,0,Colombia
1/1/2017,8,8,7,0.875,1.07,13,0,0,1.75,8,1,13,0,0,0.6154,0.01,Costa Rica
1/1/2017,42,42,38,0.9048,0.37,57,0,0,0.51,42,1,57,0,0,0.7368,0.02,Czechia
1/1/2017,734,734,645,0.8787,5.14,936,2,0.0027,6.47,744,0.9968,933,0,0,0.7974,4.82,Germany
1/1/2017,28,28,27,0.9643,1.77,30,0,0,1.9,28,1,30,0,0,0.9333,0.05,Denmark
1/1/2017,13,13,10,0.7692,0,15,0,0,0,13,1,15,0,0,0.8667,0,Dominican Republic
1/1/2017,1,1,1,1,0,11,0,0,0,1,0.5455,6,0,0,0.1667,0,Algeria
1/1/2017,2,2,2,1,0,2,0,0,0,2,1,2,0,0,1,0,Ecuador
1/1/2017,1,1,1,1,0,4,0,0,0,1,1,4,0,0,0.25,0,Estonia
